id,houses,features,constraints,solution
lgp-test-2x6-24,2,"{'name': ['Eric', 'Arnold'], 'pet': ['cat', 'dog'], 'nationalities': ['dane', 'brit'], 'occupation': ['doctor', 'engineer'], 'sports': ['soccer', 'basketball'], 'cigar': ['prince', 'pall mall']}","['The person who has a cat and the Prince smoker are next to each other.', 'Eric is directly left of the person who owns a dog.', 'The Dane is not in the second house.', 'Arnold is the person who is a doctor.', 'The person who loves basketball is not in the second house.']","{'header': array(['House', 'Name', 'Pet', 'Nationality', 'Occupation',
       'FavoriteSport', 'Cigar'], dtype=object), 'rows': array([array(['1', 'Eric', 'cat', 'dane', 'engineer', 'basketball', 'pall mall'],
             dtype=object)                                                       ,
       array(['2', 'Arnold', 'dog', 'brit', 'doctor', 'soccer', 'prince'],
             dtype=object)                                                ],
      dtype=object)}"
lgp-test-6x2-9,6,"{'name': ['Bob', 'Arnold', 'Peter', 'Eric', 'Carol', 'Alice'], 'flower': ['lilies', 'daffodils', 'carnations', 'tulips', 'iris', 'roses']}","['Alice and Bob are next to each other.', 'Carol is not in the first house.', 'There are two houses between Peter and the person who loves the rose bouquet.', 'The person who loves a bouquet of daffodils is somewhere to the left of the person who loves the vase of tulips.', 'The person who loves the boquet of iris is not in the second house.', 'The person who loves the rose bouquet is somewhere to the right of Arnold.', 'The person who loves a bouquet of daffodils is somewhere to the right of the person who loves a carnations arrangement.', 'Arnold is somewhere to the left of Eric.', 'Carol and the person who loves a carnations arrangement are next to each other.', 'Arnold is somewhere to the right of the person who loves the boquet of iris.', 'The person who loves a carnations arrangement is directly left of Alice.']","{'header': array(['House', 'Name', 'Flower'], dtype=object), 'rows': array([array(['1', 'Peter', 'iris'], dtype=object),
       array(['2', 'Carol', 'lilies'], dtype=object),
       array(['3', 'Arnold', 'carnations'], dtype=object),
       array(['4', 'Alice', 'roses'], dtype=object),
       array(['5', 'Bob', 'daffodils'], dtype=object),
       array(['6', 'Eric', 'tulips'], dtype=object)], dtype=object)}"
lgp-test-4x2-18,4,"{'name': ['Arnold', 'Alice', 'Peter', 'Eric'], 'color': ['green', 'red', 'white', 'yellow']}","['The person whose favorite color is red is directly left of Eric.', 'Arnold is the person whose favorite color is green.', 'Eric is directly left of the person who loves yellow.', 'Alice is in the first house.']","{'header': array(['House', 'Name', 'Color'], dtype=object), 'rows': array([array(['1', 'Alice', 'red'], dtype=object),
       array(['2', 'Eric', 'white'], dtype=object),
       array(['3', 'Peter', 'yellow'], dtype=object),
       array(['4', 'Arnold', 'green'], dtype=object)], dtype=object)}"
lgp-test-5x2-15,5,"{'name': ['Alice', 'Bob', 'Arnold', 'Peter', 'Eric'], 'sports': ['tennis', 'baseball', 'soccer', 'basketball', 'swimming']}","['The person who loves tennis is not in the fifth house.', 'The person who loves swimming and Alice are next to each other.', 'The person who loves swimming is directly left of the person who loves tennis.', 'Eric is the person who loves soccer.', 'Eric is in the first house.', 'Arnold is in the second house.', 'Peter is the person who loves baseball.', 'Alice is not in the third house.']","{'header': array(['House', 'Name', 'FavoriteSport'], dtype=object), 'rows': array([array(['1', 'Eric', 'soccer'], dtype=object),
       array(['2', 'Arnold', 'basketball'], dtype=object),
       array(['3', 'Bob', 'swimming'], dtype=object),
       array(['4', 'Alice', 'tennis'], dtype=object),
       array(['5', 'Peter', 'baseball'], dtype=object)], dtype=object)}"
lgp-test-5x4-2,5,"{'name': ['Bob', 'Eric', 'Arnold', 'Alice', 'Peter'], 'color': ['blue', 'green', 'white', 'yellow', 'red'], 'models': ['huawei p50', 'samsung galaxy s21', 'oneplus 9', 'iphone 13', 'google pixel 6'], 'occupation': ['artist', 'teacher', 'doctor', 'engineer', 'lawyer']}","['The person who is an engineer is somewhere to the right of the person who is a lawyer.', 'Bob is in the second house.', 'The person who uses a Samsung Galaxy S21 is the person who is a doctor.', 'The person who is a doctor is the person who loves blue.', 'The person whose favorite color is green is not in the fifth house.', 'The person who is a lawyer is the person who uses a OnePlus 9.', 'The person who loves blue is directly left of the person whose favorite color is red.', 'The person who is a lawyer is somewhere to the right of the person who uses a Samsung Galaxy S21.', 'There is one house between the person who uses a Google Pixel 6 and the person who uses a Huawei P50.', 'Arnold is the person who is an engineer.', 'Alice is the person who loves yellow.', 'The person who uses a Google Pixel 6 is Eric.', 'The person who uses a Google Pixel 6 is the person who is a teacher.', 'The person whose favorite color is red is somewhere to the right of the person who is a teacher.']","{'header': array(['House', 'Name', 'Color', 'PhoneModel', 'Occupation'], dtype=object), 'rows': array([array(['1', 'Eric', 'green', 'google pixel 6', 'teacher'], dtype=object),
       array(['2', 'Bob', 'blue', 'samsung galaxy s21', 'doctor'], dtype=object),
       array(['3', 'Peter', 'red', 'huawei p50', 'artist'], dtype=object),
       array(['4', 'Alice', 'yellow', 'oneplus 9', 'lawyer'], dtype=object),
       array(['5', 'Arnold', 'white', 'iphone 13', 'engineer'], dtype=object)],
      dtype=object)}"
lgp-test-4x4-21,4,"{'name': ['Eric', 'Peter', 'Alice', 'Arnold'], 'models': ['tesla model 3', 'honda civic', 'toyota camry', 'ford f150'], 'month': ['jan', 'april', 'sept', 'feb'], 'hobby': ['painting', 'cooking', 'gardening', 'photography']}","['The person whose birthday is in January is not in the second house.', 'The photography enthusiast is somewhere to the left of Eric.', 'The photography enthusiast is somewhere to the left of Peter.', 'The person who owns a Honda Civic is directly left of the person who owns a Tesla Model 3.', 'There is one house between the person who owns a Tesla Model 3 and the person who enjoys gardening.', 'The person who owns a Tesla Model 3 is Arnold.', 'The person whose birthday is in February is the person who loves cooking.', 'The person who owns a Toyota Camry is Peter.', 'The person whose birthday is in April is Arnold.', 'Alice is the photography enthusiast.', 'Peter is the person whose birthday is in January.']","{'header': array(['House', 'Name', 'CarModel', 'Birthday', 'Hobby'], dtype=object), 'rows': array([array(['1', 'Alice', 'honda civic', 'sept', 'photography'], dtype=object),
       array(['2', 'Arnold', 'tesla model 3', 'april', 'painting'], dtype=object),
       array(['3', 'Eric', 'ford f150', 'feb', 'cooking'], dtype=object),
       array(['4', 'Peter', 'toyota camry', 'jan', 'gardening'], dtype=object)],
      dtype=object)}"
lgp-test-5x6-0,5,"{'name': ['Arnold', 'Bob', 'Alice', 'Eric', 'Peter'], 'sports': ['basketball', 'soccer', 'tennis', 'baseball', 'swimming'], 'animals': ['dog', 'fish', 'horse', 'bird', 'cat'], 'models': ['oneplus 9', 'google pixel 6', 'samsung galaxy s21', 'iphone 13', 'huawei p50'], 'colors': ['black', 'red', 'brown', 'blonde', 'gray'], 'house': ['modern', 'craftsman', 'victorian', 'ranch', 'colonial']}","['The person who has gray hair is the person who loves tennis.', 'The person in a ranch-style home is in the fourth house.', 'The person living in a colonial-style house is the person who loves swimming.', 'The dog owner is somewhere to the right of the person who has gray hair.', 'The fish enthusiast is the person who has gray hair.', 'The person who has black hair is not in the fifth house.', 'The person who uses a Samsung Galaxy S21 is the bird keeper.', 'There is one house between the fish enthusiast and the person who uses a Samsung Galaxy S21.', 'The person residing in a Victorian house is somewhere to the left of the person in a Craftsman-style house.', 'The person who has red hair is not in the fifth house.', 'There is one house between the person who uses a Samsung Galaxy S21 and the person who uses a Huawei P50.', 'The person who uses an iPhone 13 is the person in a Craftsman-style house.', 'Eric is the person who has red hair.', 'The person who has red hair is not in the fourth house.', 'The person who uses a OnePlus 9 is in the first house.', 'The person who loves soccer is the dog owner.', 'The person who keeps horses is Bob.', 'Arnold is the fish enthusiast.', 'The person who loves baseball is Peter.', 'The person who loves soccer is in the fourth house.', 'The person who has blonde hair is directly left of the person who has black hair.']","{'header': array(['House', 'Name', 'FavoriteSport', 'Animal', 'PhoneModel',
       'HairColor', 'HouseStyle'], dtype=object), 'rows': array([array(['1', 'Arnold', 'tennis', 'fish', 'oneplus 9', 'gray', 'victorian'],
             dtype=object)                                                       ,
       array(['2', 'Eric', 'basketball', 'cat', 'iphone 13', 'red', 'craftsman'],
             dtype=object)                                                       ,
       array(['3', 'Peter', 'baseball', 'bird', 'samsung galaxy s21', 'blonde',
              'modern'], dtype=object)                                         ,
       array(['4', 'Alice', 'soccer', 'dog', 'google pixel 6', 'black', 'ranch'],
             dtype=object)                                                       ,
       array(['5', 'Bob', 'swimming', 'horse', 'huawei p50', 'brown', 'colonial'],
             dtype=object)                                                        ],
      dtype=object)}"
lgp-test-2x3-9,2,"{'name': ['Arnold', 'Eric'], 'house': ['colonial', 'victorian'], 'models': ['iphone 13', 'samsung galaxy s21']}","['Eric is somewhere to the left of the person who uses an iPhone 13.', 'The person who uses a Samsung Galaxy S21 is the person residing in a Victorian house.']","{'header': array(['House', 'Name', 'HouseStyle', 'PhoneModel'], dtype=object), 'rows': array([array(['1', 'Eric', 'victorian', 'samsung galaxy s21'], dtype=object),
       array(['2', 'Arnold', 'colonial', 'iphone 13'], dtype=object)],
      dtype=object)}"
lgp-test-5x5-12,5,"{'name': ['Alice', 'Arnold', 'Eric', 'Bob', 'Peter'], 'smoothie': ['watermelon', 'cherry', 'dragonfruit', 'lime', 'desert'], 'genres': ['hip hop', 'classical', 'rock', 'pop', 'jazz'], 'lunch': ['grilled cheese', 'pizza', 'spaghetti', 'stir fry', 'stew'], 'drink': ['tea', 'root beer', 'milk', 'water', 'coffee']}","['The coffee drinker is not in the first house.', 'The person who loves jazz music is the Desert smoothie lover.', 'The Watermelon smoothie lover is in the fourth house.', 'The coffee drinker is directly left of Peter.', 'The one who only drinks water is the person who loves hip-hop music.', 'The Dragonfruit smoothie lover is directly left of the one who only drinks water.', 'The Desert smoothie lover is in the fifth house.', 'The person who loves stir fry is somewhere to the right of Bob.', 'The person who is a pizza lover is the person who likes Cherry smoothies.', 'The person who loves classical music is the person who loves the stew.', 'The one who only drinks water is Bob.', 'The root beer lover is the Dragonfruit smoothie lover.', 'There is one house between Arnold and the person who likes Cherry smoothies.', 'The person who loves the spaghetti eater is in the fifth house.', 'The person who likes milk is in the fifth house.', 'The person who likes Cherry smoothies is Bob.', 'The Dragonfruit smoothie lover is the person who loves the stew.', 'Eric and Peter are next to each other.', 'The person who loves rock music is not in the first house.']","{'header': array(['House', 'Name', 'Smoothie', 'MusicGenre', 'Food', 'Drink'],
      dtype=object), 'rows': array([array(['1', 'Arnold', 'lime', 'pop', 'grilled cheese', 'tea'],
             dtype=object)                                           ,
       array(['2', 'Alice', 'dragonfruit', 'classical', 'stew', 'root beer'],
             dtype=object)                                                   ,
       array(['3', 'Bob', 'cherry', 'hip hop', 'pizza', 'water'], dtype=object),
       array(['4', 'Eric', 'watermelon', 'rock', 'stir fry', 'coffee'],
             dtype=object)                                             ,
       array(['5', 'Peter', 'desert', 'jazz', 'spaghetti', 'milk'], dtype=object)],
      dtype=object)}"
lgp-test-3x5-16,3,"{'name': ['Eric', 'Arnold', 'Peter'], 'drink': ['milk', 'tea', 'water'], 'sports': ['soccer', 'basketball', 'tennis'], 'animals': ['bird', 'horse', 'cat'], 'genres': ['mystery', 'science fiction', 'romance']}","['The person who loves mystery books is the person who loves tennis.', 'The person who loves tennis is the tea drinker.', 'There is one house between the person who keeps horses and the bird keeper.', 'Peter is the person who likes milk.', 'Eric is the person who keeps horses.', 'The person who loves soccer is in the third house.', 'The person who loves science fiction books is the person who loves basketball.', 'The tea drinker is Arnold.', 'The person who likes milk is the person who loves soccer.']","{'header': array(['House', 'Name', 'Drink', 'FavoriteSport', 'Animal', 'BookGenre'],
      dtype=object), 'rows': array([array(['1', 'Eric', 'water', 'basketball', 'horse', 'science fiction'],
             dtype=object)                                                    ,
       array(['2', 'Arnold', 'tea', 'tennis', 'cat', 'mystery'], dtype=object),
       array(['3', 'Peter', 'milk', 'soccer', 'bird', 'romance'], dtype=object)],
      dtype=object)}"
lgp-test-4x3-10,4,"{'name': ['Alice', 'Peter', 'Eric', 'Arnold'], 'pet': ['bird', 'cat', 'dog', 'fish'], 'models': ['iphone 13', 'google pixel 6', 'oneplus 9', 'samsung galaxy s21']}","['The person who uses a Google Pixel 6 is directly left of the person who has a cat.', 'Peter is the person who owns a dog.', 'The person who uses a OnePlus 9 is the person who has a cat.', 'The person who uses an iPhone 13 is Peter.', 'There are two houses between the person who uses a Google Pixel 6 and Alice.', 'The person who keeps a pet bird is somewhere to the left of Eric.']","{'header': array(['House', 'Name', 'Pet', 'PhoneModel'], dtype=object), 'rows': array([array(['1', 'Arnold', 'bird', 'google pixel 6'], dtype=object),
       array(['2', 'Eric', 'cat', 'oneplus 9'], dtype=object),
       array(['3', 'Peter', 'dog', 'iphone 13'], dtype=object),
       array(['4', 'Alice', 'fish', 'samsung galaxy s21'], dtype=object)],
      dtype=object)}"
